system:index,evaporation_from_vegetation_transpiration_sum,date,.geo
20030122,-7.52E-05,2003-01-22,"{""type"":""MultiPoint"",""coordinates"":[]}"
20030123,-5.58E-05,2003-01-23,"{""type"":""MultiPoint"",""coordinates"":[]}"
20030124,-3.91E-05,2003-01-24,"{""type"":""MultiPoint"",""coordinates"":[]}"
20030125,-6.71E-05,2003-01-25,"{""type"":""MultiPoint"",""coordinates"":[]}"
20030126,-7.64E-05,2003-01-26,"{""type"":""MultiPoint"",""coordinates"":[]}"
20030127,-6.69E-05,2003-01-27,"{""type"":""MultiPoint"",""coordinates"":[]}"
20030128,-6.12E-05,2003-01-28,"{""type"":""MultiPoint"",""coordinates"":[]}"
20030129,-6.15E-05,2003-01-29,"{""type"":""MultiPoint"",""coordinates"":[]}"
20030130,-5.97E-05,2003-01-30,"{""type"":""MultiPoint"",""coordinates"":[]}"
20030131,-4.25E-05,2003-01-31,"{""type"":""MultiPoint"",""coordinates"":[]}"
20030201,-2.85E-05,2003-02-01,"{""type"":""MultiPoint"",""coordinates"":[]}"
20030202,-3.73E-05,2003-02-02,"{""type"":""MultiPoint"",""coordinates"":[]}"
20030203,-4.80E-05,2003-02-03,"{""type"":""MultiPoint"",""coordinates"":[]}"
20030204,-4.10E-05,2003-02-04,"{""type"":""MultiPoint"",""coordinates"":[]}"
20030205,-5.88E-05,2003-02-05,"{""type"":""MultiPoint"",""coordinates"":[]}"
20030206,-6.14E-05,2003-02-06,"{""type"":""MultiPoint"",""coordinates"":[]}"
20030207,-5.70E-05,2003-02-07,"{""type"":""MultiPoint"",""coordinates"":[]}"
20030208,-5.85E-05,2003-02-08,"{""type"":""MultiPoint"",""coordinates"":[]}"
20030209,-6.04E-05,2003-02-09,"{""type"":""MultiPoint"",""coordinates"":[]}"
20030210,-7.46E-05,2003-02-10,"{""type"":""MultiPoint"",""coordinates"":[]}"
20030211,-7.25E-05,2003-02-11,"{""type"":""MultiPoint"",""coordinates"":[]}"
20030212,-3.41E-05,2003-02-12,"{""type"":""MultiPoint"",""coordinates"":[]}"
20030213,-2.66E-05,2003-02-13,"{""type"":""MultiPoint"",""coordinates"":[]}"
20030214,-4.95E-05,2003-02-14,"{""type"":""MultiPoint"",""coordinates"":[]}"
20030215,-4.74E-05,2003-02-15,"{""type"":""MultiPoint"",""coordinates"":[]}"
20030216,-6.07E-05,2003-02-16,"{""type"":""MultiPoint"",""coordinates"":[]}"
20030217,-6.62E-05,2003-02-17,"{""type"":""MultiPoint"",""coordinates"":[]}"
20030218,-6.33E-05,2003-02-18,"{""type"":""MultiPoint"",""coordinates"":[]}"
20030219,-5.15E-05,2003-02-19,"{""type"":""MultiPoint"",""coordinates"":[]}"
20030220,-5.80E-05,2003-02-20,"{""type"":""MultiPoint"",""coordinates"":[]}"
20030221,-7.46E-05,2003-02-21,"{""type"":""MultiPoint"",""coordinates"":[]}"
20030222,-7.13E-05,2003-02-22,"{""type"":""MultiPoint"",""coordinates"":[]}"
20030223,-7.92E-05,2003-02-23,"{""type"":""MultiPoint"",""coordinates"":[]}"
20030224,-5.94E-05,2003-02-24,"{""type"":""MultiPoint"",""coordinates"":[]}"
20030225,-3.61E-05,2003-02-25,"{""type"":""MultiPoint"",""coordinates"":[]}"
20030226,-4.48E-05,2003-02-26,"{""type"":""MultiPoint"",""coordinates"":[]}"
20030227,-6.06E-05,2003-02-27,"{""type"":""MultiPoint"",""coordinates"":[]}"
20030228,-9.64E-05,2003-02-28,"{""type"":""MultiPoint"",""coordinates"":[]}"
20030301,-7.24E-05,2003-03-01,"{""type"":""MultiPoint"",""coordinates"":[]}"
20030302,-8.98E-05,2003-03-02,"{""type"":""MultiPoint"",""coordinates"":[]}"
20030303,-8.75E-05,2003-03-03,"{""type"":""MultiPoint"",""coordinates"":[]}"
20030304,-8.85E-05,2003-03-04,"{""type"":""MultiPoint"",""coordinates"":[]}"
20030305,-9.71E-05,2003-03-05,"{""type"":""MultiPoint"",""coordinates"":[]}"
20030306,-1.07E-04,2003-03-06,"{""type"":""MultiPoint"",""coordinates"":[]}"
20030307,-9.79E-05,2003-03-07,"{""type"":""MultiPoint"",""coordinates"":[]}"
20030308,-7.44E-05,2003-03-08,"{""type"":""MultiPoint"",""coordinates"":[]}"
20030309,-8.05E-05,2003-03-09,"{""type"":""MultiPoint"",""coordinates"":[]}"
20030310,-9.01E-05,2003-03-10,"{""type"":""MultiPoint"",""coordinates"":[]}"
20030311,-5.15E-05,2003-03-11,"{""type"":""MultiPoint"",""coordinates"":[]}"
20030312,-5.64E-05,2003-03-12,"{""type"":""MultiPoint"",""coordinates"":[]}"
20030313,-4.51E-05,2003-03-13,"{""type"":""MultiPoint"",""coordinates"":[]}"
20030314,-4.01E-05,2003-03-14,"{""type"":""MultiPoint"",""coordinates"":[]}"
20030315,-3.26E-05,2003-03-15,"{""type"":""MultiPoint"",""coordinates"":[]}"
20030316,-4.12E-05,2003-03-16,"{""type"":""MultiPoint"",""coordinates"":[]}"
20030317,-4.91E-05,2003-03-17,"{""type"":""MultiPoint"",""coordinates"":[]}"
20030318,-5.44E-05,2003-03-18,"{""type"":""MultiPoint"",""coordinates"":[]}"
20030319,-6.01E-05,2003-03-19,"{""type"":""MultiPoint"",""coordinates"":[]}"
20030320,-4.07E-05,2003-03-20,"{""type"":""MultiPoint"",""coordinates"":[]}"
20030321,-6.46E-05,2003-03-21,"{""type"":""MultiPoint"",""coordinates"":[]}"
20030322,-1.11E-04,2003-03-22,"{""type"":""MultiPoint"",""coordinates"":[]}"
20030323,-1.19E-04,2003-03-23,"{""type"":""MultiPoint"",""coordinates"":[]}"
20030324,-1.26E-04,2003-03-24,"{""type"":""MultiPoint"",""coordinates"":[]}"
20030325,-8.99E-05,2003-03-25,"{""type"":""MultiPoint"",""coordinates"":[]}"
20030326,-1.02E-04,2003-03-26,"{""type"":""MultiPoint"",""coordinates"":[]}"
20030327,-5.25E-05,2003-03-27,"{""type"":""MultiPoint"",""coordinates"":[]}"
20030328,-3.86E-05,2003-03-28,"{""type"":""MultiPoint"",""coordinates"":[]}"
20030329,-2.80E-05,2003-03-29,"{""type"":""MultiPoint"",""coordinates"":[]}"
20030330,-2.85E-05,2003-03-30,"{""type"":""MultiPoint"",""coordinates"":[]}"
20030331,-3.90E-05,2003-03-31,"{""type"":""MultiPoint"",""coordinates"":[]}"
20030401,-4.86E-05,2003-04-01,"{""type"":""MultiPoint"",""coordinates"":[]}"
20030402,-5.18E-05,2003-04-02,"{""type"":""MultiPoint"",""coordinates"":[]}"
20030403,-7.07E-05,2003-04-03,"{""type"":""MultiPoint"",""coordinates"":[]}"
20030404,-6.87E-05,2003-04-04,"{""type"":""MultiPoint"",""coordinates"":[]}"
20030405,-4.86E-05,2003-04-05,"{""type"":""MultiPoint"",""coordinates"":[]}"
20030406,-7.14E-05,2003-04-06,"{""type"":""MultiPoint"",""coordinates"":[]}"
20030407,-1.16E-04,2003-04-07,"{""type"":""MultiPoint"",""coordinates"":[]}"
20030408,-7.24E-05,2003-04-08,"{""type"":""MultiPoint"",""coordinates"":[]}"
20030409,-5.15E-05,2003-04-09,"{""type"":""MultiPoint"",""coordinates"":[]}"
20030410,-4.09E-05,2003-04-10,"{""type"":""MultiPoint"",""coordinates"":[]}"
20030411,-4.55E-05,2003-04-11,"{""type"":""MultiPoint"",""coordinates"":[]}"
20030412,-4.13E-05,2003-04-12,"{""type"":""MultiPoint"",""coordinates"":[]}"
20030413,-5.43E-05,2003-04-13,"{""type"":""MultiPoint"",""coordinates"":[]}"
20030414,-9.30E-05,2003-04-14,"{""type"":""MultiPoint"",""coordinates"":[]}"
20030415,-8.01E-05,2003-04-15,"{""type"":""MultiPoint"",""coordinates"":[]}"
20030416,-8.29E-05,2003-04-16,"{""type"":""MultiPoint"",""coordinates"":[]}"
20030417,-7.81E-05,2003-04-17,"{""type"":""MultiPoint"",""coordinates"":[]}"
20030418,-4.50E-05,2003-04-18,"{""type"":""MultiPoint"",""coordinates"":[]}"
20030419,-4.78E-05,2003-04-19,"{""type"":""MultiPoint"",""coordinates"":[]}"
20030420,-5.75E-05,2003-04-20,"{""type"":""MultiPoint"",""coordinates"":[]}"
20030421,-8.92E-05,2003-04-21,"{""type"":""MultiPoint"",""coordinates"":[]}"
20030422,-1.05E-04,2003-04-22,"{""type"":""MultiPoint"",""coordinates"":[]}"
20030423,-8.38E-05,2003-04-23,"{""type"":""MultiPoint"",""coordinates"":[]}"
20030424,-6.06E-05,2003-04-24,"{""type"":""MultiPoint"",""coordinates"":[]}"
20030425,-1.18E-04,2003-04-25,"{""type"":""MultiPoint"",""coordinates"":[]}"
20030426,-1.13E-04,2003-04-26,"{""type"":""MultiPoint"",""coordinates"":[]}"
20030427,-6.50E-05,2003-04-27,"{""type"":""MultiPoint"",""coordinates"":[]}"
20030428,-5.20E-05,2003-04-28,"{""type"":""MultiPoint"",""coordinates"":[]}"
20030429,-6.71E-05,2003-04-29,"{""type"":""MultiPoint"",""coordinates"":[]}"
20030430,-7.81E-05,2003-04-30,"{""type"":""MultiPoint"",""coordinates"":[]}"
20030501,-7.88E-05,2003-05-01,"{""type"":""MultiPoint"",""coordinates"":[]}"
20030502,-6.67E-05,2003-05-02,"{""type"":""MultiPoint"",""coordinates"":[]}"
20030503,-4.47E-05,2003-05-03,"{""type"":""MultiPoint"",""coordinates"":[]}"
20030504,-6.06E-05,2003-05-04,"{""type"":""MultiPoint"",""coordinates"":[]}"
20030505,-6.74E-05,2003-05-05,"{""type"":""MultiPoint"",""coordinates"":[]}"
20030506,-9.40E-05,2003-05-06,"{""type"":""MultiPoint"",""coordinates"":[]}"
20030507,-8.65E-05,2003-05-07,"{""type"":""MultiPoint"",""coordinates"":[]}"
20030508,-6.93E-05,2003-05-08,"{""type"":""MultiPoint"",""coordinates"":[]}"
20030509,-6.39E-05,2003-05-09,"{""type"":""MultiPoint"",""coordinates"":[]}"
20030510,-8.39E-05,2003-05-10,"{""type"":""MultiPoint"",""coordinates"":[]}"
20030511,-8.64E-05,2003-05-11,"{""type"":""MultiPoint"",""coordinates"":[]}"
20030512,-6.26E-05,2003-05-12,"{""type"":""MultiPoint"",""coordinates"":[]}"
20030513,-7.13E-05,2003-05-13,"{""type"":""MultiPoint"",""coordinates"":[]}"
20030514,-1.10E-04,2003-05-14,"{""type"":""MultiPoint"",""coordinates"":[]}"
20030515,-9.01E-05,2003-05-15,"{""type"":""MultiPoint"",""coordinates"":[]}"
20030516,-8.64E-05,2003-05-16,"{""type"":""MultiPoint"",""coordinates"":[]}"
20030517,-1.01E-04,2003-05-17,"{""type"":""MultiPoint"",""coordinates"":[]}"
20030518,-1.12E-04,2003-05-18,"{""type"":""MultiPoint"",""coordinates"":[]}"
20030519,-1.04E-04,2003-05-19,"{""type"":""MultiPoint"",""coordinates"":[]}"
20030520,-7.52E-05,2003-05-20,"{""type"":""MultiPoint"",""coordinates"":[]}"
20030521,-6.19E-05,2003-05-21,"{""type"":""MultiPoint"",""coordinates"":[]}"
20030522,-9.18E-05,2003-05-22,"{""type"":""MultiPoint"",""coordinates"":[]}"
20030523,-7.56E-05,2003-05-23,"{""type"":""MultiPoint"",""coordinates"":[]}"
20030524,-6.49E-05,2003-05-24,"{""type"":""MultiPoint"",""coordinates"":[]}"
20030525,-5.62E-05,2003-05-25,"{""type"":""MultiPoint"",""coordinates"":[]}"
20030526,-7.23E-05,2003-05-26,"{""type"":""MultiPoint"",""coordinates"":[]}"
20030527,-9.33E-05,2003-05-27,"{""type"":""MultiPoint"",""coordinates"":[]}"
20030528,-9.47E-05,2003-05-28,"{""type"":""MultiPoint"",""coordinates"":[]}"
20030529,-8.26E-05,2003-05-29,"{""type"":""MultiPoint"",""coordinates"":[]}"
20030530,-9.84E-05,2003-05-30,"{""type"":""MultiPoint"",""coordinates"":[]}"
20030531,-1.10E-04,2003-05-31,"{""type"":""MultiPoint"",""coordinates"":[]}"
20030601,-6.14E-05,2003-06-01,"{""type"":""MultiPoint"",""coordinates"":[]}"
20030602,-6.50E-05,2003-06-02,"{""type"":""MultiPoint"",""coordinates"":[]}"
20030603,-7.13E-05,2003-06-03,"{""type"":""MultiPoint"",""coordinates"":[]}"
20030604,-7.86E-05,2003-06-04,"{""type"":""MultiPoint"",""coordinates"":[]}"
20030605,-9.12E-05,2003-06-05,"{""type"":""MultiPoint"",""coordinates"":[]}"
20030606,-8.00E-05,2003-06-06,"{""type"":""MultiPoint"",""coordinates"":[]}"
20030607,-7.66E-05,2003-06-07,"{""type"":""MultiPoint"",""coordinates"":[]}"
20030608,-6.89E-05,2003-06-08,"{""type"":""MultiPoint"",""coordinates"":[]}"
20030609,-7.35E-05,2003-06-09,"{""type"":""MultiPoint"",""coordinates"":[]}"
20030610,-8.07E-05,2003-06-10,"{""type"":""MultiPoint"",""coordinates"":[]}"
20030611,-8.10E-05,2003-06-11,"{""type"":""MultiPoint"",""coordinates"":[]}"
20030612,-7.01E-05,2003-06-12,"{""type"":""MultiPoint"",""coordinates"":[]}"
20030613,-7.30E-05,2003-06-13,"{""type"":""MultiPoint"",""coordinates"":[]}"
20030614,-1.02E-04,2003-06-14,"{""type"":""MultiPoint"",""coordinates"":[]}"
20030615,-1.13E-04,2003-06-15,"{""type"":""MultiPoint"",""coordinates"":[]}"
20030616,-7.83E-05,2003-06-16,"{""type"":""MultiPoint"",""coordinates"":[]}"
20030617,-7.93E-05,2003-06-17,"{""type"":""MultiPoint"",""coordinates"":[]}"
20030618,-7.03E-05,2003-06-18,"{""type"":""MultiPoint"",""coordinates"":[]}"
20030619,-8.20E-05,2003-06-19,"{""type"":""MultiPoint"",""coordinates"":[]}"
20030620,-6.57E-05,2003-06-20,"{""type"":""MultiPoint"",""coordinates"":[]}"
20030621,-5.38E-05,2003-06-21,"{""type"":""MultiPoint"",""coordinates"":[]}"
20030622,-4.78E-05,2003-06-22,"{""type"":""MultiPoint"",""coordinates"":[]}"
20030623,-4.74E-05,2003-06-23,"{""type"":""MultiPoint"",""coordinates"":[]}"
20030624,-4.89E-05,2003-06-24,"{""type"":""MultiPoint"",""coordinates"":[]}"
20030625,-6.52E-05,2003-06-25,"{""type"":""MultiPoint"",""coordinates"":[]}"
20030626,-5.63E-05,2003-06-26,"{""type"":""MultiPoint"",""coordinates"":[]}"
20030627,-5.82E-05,2003-06-27,"{""type"":""MultiPoint"",""coordinates"":[]}"
20030628,-6.84E-05,2003-06-28,"{""type"":""MultiPoint"",""coordinates"":[]}"
20030629,-7.31E-05,2003-06-29,"{""type"":""MultiPoint"",""coordinates"":[]}"
20030630,-7.30E-05,2003-06-30,"{""type"":""MultiPoint"",""coordinates"":[]}"
20030701,-5.76E-05,2003-07-01,"{""type"":""MultiPoint"",""coordinates"":[]}"
20030702,-7.93E-05,2003-07-02,"{""type"":""MultiPoint"",""coordinates"":[]}"
20030703,-6.28E-05,2003-07-03,"{""type"":""MultiPoint"",""coordinates"":[]}"
20030704,-4.29E-05,2003-07-04,"{""type"":""MultiPoint"",""coordinates"":[]}"
20030705,-3.96E-05,2003-07-05,"{""type"":""MultiPoint"",""coordinates"":[]}"
20030706,-5.72E-05,2003-07-06,"{""type"":""MultiPoint"",""coordinates"":[]}"
20030707,-6.75E-05,2003-07-07,"{""type"":""MultiPoint"",""coordinates"":[]}"
20030708,-4.18E-05,2003-07-08,"{""type"":""MultiPoint"",""coordinates"":[]}"
20030709,-3.61E-05,2003-07-09,"{""type"":""MultiPoint"",""coordinates"":[]}"
20030710,-4.32E-05,2003-07-10,"{""type"":""MultiPoint"",""coordinates"":[]}"
20030711,-4.38E-05,2003-07-11,"{""type"":""MultiPoint"",""coordinates"":[]}"
20030712,-5.75E-05,2003-07-12,"{""type"":""MultiPoint"",""coordinates"":[]}"
20030713,-4.47E-05,2003-07-13,"{""type"":""MultiPoint"",""coordinates"":[]}"
20030714,-4.67E-05,2003-07-14,"{""type"":""MultiPoint"",""coordinates"":[]}"
20030715,-4.04E-05,2003-07-15,"{""type"":""MultiPoint"",""coordinates"":[]}"
20030716,-4.37E-05,2003-07-16,"{""type"":""MultiPoint"",""coordinates"":[]}"
20030717,-4.06E-05,2003-07-17,"{""type"":""MultiPoint"",""coordinates"":[]}"
20030718,-4.20E-05,2003-07-18,"{""type"":""MultiPoint"",""coordinates"":[]}"
20030719,-4.44E-05,2003-07-19,"{""type"":""MultiPoint"",""coordinates"":[]}"
20030720,-4.01E-05,2003-07-20,"{""type"":""MultiPoint"",""coordinates"":[]}"
20030721,-4.18E-05,2003-07-21,"{""type"":""MultiPoint"",""coordinates"":[]}"
20030722,-5.27E-05,2003-07-22,"{""type"":""MultiPoint"",""coordinates"":[]}"
20030723,-6.84E-05,2003-07-23,"{""type"":""MultiPoint"",""coordinates"":[]}"
20030724,-7.10E-05,2003-07-24,"{""type"":""MultiPoint"",""coordinates"":[]}"
20030725,-8.99E-05,2003-07-25,"{""type"":""MultiPoint"",""coordinates"":[]}"
20030726,-7.90E-05,2003-07-26,"{""type"":""MultiPoint"",""coordinates"":[]}"
20030727,-7.61E-05,2003-07-27,"{""type"":""MultiPoint"",""coordinates"":[]}"
20030728,-5.25E-05,2003-07-28,"{""type"":""MultiPoint"",""coordinates"":[]}"
20030729,-3.76E-05,2003-07-29,"{""type"":""MultiPoint"",""coordinates"":[]}"
20030730,-3.61E-05,2003-07-30,"{""type"":""MultiPoint"",""coordinates"":[]}"
20030731,-3.65E-05,2003-07-31,"{""type"":""MultiPoint"",""coordinates"":[]}"
20030801,-3.84E-05,2003-08-01,"{""type"":""MultiPoint"",""coordinates"":[]}"
20030802,-4.50E-05,2003-08-02,"{""type"":""MultiPoint"",""coordinates"":[]}"
20030803,-5.09E-05,2003-08-03,"{""type"":""MultiPoint"",""coordinates"":[]}"
20030804,-7.09E-05,2003-08-04,"{""type"":""MultiPoint"",""coordinates"":[]}"
20030805,-7.77E-05,2003-08-05,"{""type"":""MultiPoint"",""coordinates"":[]}"
20030806,-7.63E-05,2003-08-06,"{""type"":""MultiPoint"",""coordinates"":[]}"
20030807,-6.57E-05,2003-08-07,"{""type"":""MultiPoint"",""coordinates"":[]}"
20030808,-5.35E-05,2003-08-08,"{""type"":""MultiPoint"",""coordinates"":[]}"
20030809,-4.93E-05,2003-08-09,"{""type"":""MultiPoint"",""coordinates"":[]}"
20030810,-5.35E-05,2003-08-10,"{""type"":""MultiPoint"",""coordinates"":[]}"
20030811,-4.64E-05,2003-08-11,"{""type"":""MultiPoint"",""coordinates"":[]}"
20030812,-5.85E-05,2003-08-12,"{""type"":""MultiPoint"",""coordinates"":[]}"
20030813,-6.29E-05,2003-08-13,"{""type"":""MultiPoint"",""coordinates"":[]}"
20030814,-6.93E-05,2003-08-14,"{""type"":""MultiPoint"",""coordinates"":[]}"
20030815,-6.76E-05,2003-08-15,"{""type"":""MultiPoint"",""coordinates"":[]}"
20030816,-6.48E-05,2003-08-16,"{""type"":""MultiPoint"",""coordinates"":[]}"
20030817,-5.99E-05,2003-08-17,"{""type"":""MultiPoint"",""coordinates"":[]}"
20030818,-6.71E-05,2003-08-18,"{""type"":""MultiPoint"",""coordinates"":[]}"
20030819,-7.49E-05,2003-08-19,"{""type"":""MultiPoint"",""coordinates"":[]}"
20030820,-6.84E-05,2003-08-20,"{""type"":""MultiPoint"",""coordinates"":[]}"
20030821,-4.99E-05,2003-08-21,"{""type"":""MultiPoint"",""coordinates"":[]}"
20030822,-3.95E-05,2003-08-22,"{""type"":""MultiPoint"",""coordinates"":[]}"
20030823,-4.11E-05,2003-08-23,"{""type"":""MultiPoint"",""coordinates"":[]}"
20030824,-4.22E-05,2003-08-24,"{""type"":""MultiPoint"",""coordinates"":[]}"
20030825,-4.78E-05,2003-08-25,"{""type"":""MultiPoint"",""coordinates"":[]}"
20030826,-4.81E-05,2003-08-26,"{""type"":""MultiPoint"",""coordinates"":[]}"
20030827,-4.91E-05,2003-08-27,"{""type"":""MultiPoint"",""coordinates"":[]}"
20030828,-5.68E-05,2003-08-28,"{""type"":""MultiPoint"",""coordinates"":[]}"
20030829,-5.02E-05,2003-08-29,"{""type"":""MultiPoint"",""coordinates"":[]}"
20030830,-4.21E-05,2003-08-30,"{""type"":""MultiPoint"",""coordinates"":[]}"
20030831,-4.78E-05,2003-08-31,"{""type"":""MultiPoint"",""coordinates"":[]}"
20030901,-6.02E-05,2003-09-01,"{""type"":""MultiPoint"",""coordinates"":[]}"
20030902,-5.30E-05,2003-09-02,"{""type"":""MultiPoint"",""coordinates"":[]}"
20030903,-5.96E-05,2003-09-03,"{""type"":""MultiPoint"",""coordinates"":[]}"
20030904,-7.33E-05,2003-09-04,"{""type"":""MultiPoint"",""coordinates"":[]}"
20030905,-7.15E-05,2003-09-05,"{""type"":""MultiPoint"",""coordinates"":[]}"
20030906,-5.72E-05,2003-09-06,"{""type"":""MultiPoint"",""coordinates"":[]}"
20030907,-5.89E-05,2003-09-07,"{""type"":""MultiPoint"",""coordinates"":[]}"
20030908,-5.84E-05,2003-09-08,"{""type"":""MultiPoint"",""coordinates"":[]}"
20030909,-5.84E-05,2003-09-09,"{""type"":""MultiPoint"",""coordinates"":[]}"
20030910,-7.90E-05,2003-09-10,"{""type"":""MultiPoint"",""coordinates"":[]}"
20030911,-8.23E-05,2003-09-11,"{""type"":""MultiPoint"",""coordinates"":[]}"
20030912,-7.81E-05,2003-09-12,"{""type"":""MultiPoint"",""coordinates"":[]}"
20030913,-7.52E-05,2003-09-13,"{""type"":""MultiPoint"",""coordinates"":[]}"
20030914,-6.99E-05,2003-09-14,"{""type"":""MultiPoint"",""coordinates"":[]}"
20030915,-5.84E-05,2003-09-15,"{""type"":""MultiPoint"",""coordinates"":[]}"
20030916,-5.07E-05,2003-09-16,"{""type"":""MultiPoint"",""coordinates"":[]}"
20030917,-4.63E-05,2003-09-17,"{""type"":""MultiPoint"",""coordinates"":[]}"
20030918,-5.33E-05,2003-09-18,"{""type"":""MultiPoint"",""coordinates"":[]}"
20030919,-5.59E-05,2003-09-19,"{""type"":""MultiPoint"",""coordinates"":[]}"
20030920,-5.84E-05,2003-09-20,"{""type"":""MultiPoint"",""coordinates"":[]}"
20030921,-5.10E-05,2003-09-21,"{""type"":""MultiPoint"",""coordinates"":[]}"
20030922,-7.02E-05,2003-09-22,"{""type"":""MultiPoint"",""coordinates"":[]}"
20030923,-6.73E-05,2003-09-23,"{""type"":""MultiPoint"",""coordinates"":[]}"
20030924,-7.08E-05,2003-09-24,"{""type"":""MultiPoint"",""coordinates"":[]}"
20030925,-4.11E-05,2003-09-25,"{""type"":""MultiPoint"",""coordinates"":[]}"
20030926,-4.39E-05,2003-09-26,"{""type"":""MultiPoint"",""coordinates"":[]}"
20030927,-5.13E-05,2003-09-27,"{""type"":""MultiPoint"",""coordinates"":[]}"
20030928,-3.62E-05,2003-09-28,"{""type"":""MultiPoint"",""coordinates"":[]}"
20030929,-2.83E-05,2003-09-29,"{""type"":""MultiPoint"",""coordinates"":[]}"
20030930,-3.17E-05,2003-09-30,"{""type"":""MultiPoint"",""coordinates"":[]}"
20031001,-3.28E-05,2003-10-01,"{""type"":""MultiPoint"",""coordinates"":[]}"
20031002,-4.90E-05,2003-10-02,"{""type"":""MultiPoint"",""coordinates"":[]}"
20031003,-5.37E-05,2003-10-03,"{""type"":""MultiPoint"",""coordinates"":[]}"
20031004,-3.46E-05,2003-10-04,"{""type"":""MultiPoint"",""coordinates"":[]}"
20031005,-5.55E-05,2003-10-05,"{""type"":""MultiPoint"",""coordinates"":[]}"
20031006,-5.44E-05,2003-10-06,"{""type"":""MultiPoint"",""coordinates"":[]}"
20031007,-6.07E-05,2003-10-07,"{""type"":""MultiPoint"",""coordinates"":[]}"
20031008,-6.95E-05,2003-10-08,"{""type"":""MultiPoint"",""coordinates"":[]}"
20031009,-7.68E-05,2003-10-09,"{""type"":""MultiPoint"",""coordinates"":[]}"
20031010,-6.04E-05,2003-10-10,"{""type"":""MultiPoint"",""coordinates"":[]}"
20031011,-3.73E-05,2003-10-11,"{""type"":""MultiPoint"",""coordinates"":[]}"
20031012,-2.85E-05,2003-10-12,"{""type"":""MultiPoint"",""coordinates"":[]}"
20031013,-3.15E-05,2003-10-13,"{""type"":""MultiPoint"",""coordinates"":[]}"
20031014,-3.71E-05,2003-10-14,"{""type"":""MultiPoint"",""coordinates"":[]}"
20031015,-5.11E-05,2003-10-15,"{""type"":""MultiPoint"",""coordinates"":[]}"
20031016,-4.33E-05,2003-10-16,"{""type"":""MultiPoint"",""coordinates"":[]}"
20031017,-3.60E-05,2003-10-17,"{""type"":""MultiPoint"",""coordinates"":[]}"
20031018,-4.31E-05,2003-10-18,"{""type"":""MultiPoint"",""coordinates"":[]}"
20031019,-4.92E-05,2003-10-19,"{""type"":""MultiPoint"",""coordinates"":[]}"
20031020,-4.69E-05,2003-10-20,"{""type"":""MultiPoint"",""coordinates"":[]}"
20031021,-4.71E-05,2003-10-21,"{""type"":""MultiPoint"",""coordinates"":[]}"
20031022,-3.52E-05,2003-10-22,"{""type"":""MultiPoint"",""coordinates"":[]}"
20031023,-3.68E-05,2003-10-23,"{""type"":""MultiPoint"",""coordinates"":[]}"
20031024,-5.28E-05,2003-10-24,"{""type"":""MultiPoint"",""coordinates"":[]}"
20031025,-6.26E-05,2003-10-25,"{""type"":""MultiPoint"",""coordinates"":[]}"
20031026,-4.99E-05,2003-10-26,"{""type"":""MultiPoint"",""coordinates"":[]}"
20031027,-6.97E-05,2003-10-27,"{""type"":""MultiPoint"",""coordinates"":[]}"
20031028,-5.53E-05,2003-10-28,"{""type"":""MultiPoint"",""coordinates"":[]}"
20031029,-3.40E-05,2003-10-29,"{""type"":""MultiPoint"",""coordinates"":[]}"
20031030,-4.25E-05,2003-10-30,"{""type"":""MultiPoint"",""coordinates"":[]}"
